License Number,Establishment Type,Entity Name,Street Number,Street Name,City,State,Zip Code,latitude,longitude,zcta,nbhLabel,boroLabel,label
670689,JAC   ,SHALOM GROCERY INC               ,2306,CONEY ISLAND AVE            ,BROOKLYN          ,NY,11223,40.600886,-73.961458,11223,"Gravesend, Homecrest, Kensington",Brooklyn,SHALOM GROCERY INC
705682,JAC   ,DKA FOOD CORP                    ,1125,FULTON ST                   ,BROOKLYN          ,NY,11238,40.681355,-73.956711,11238,Prospect Heights,Brooklyn,DKA FOOD CORP
616203,JAC   ,MUT CORP I                       ,280,WYCKOFF AVE                  ,BROOKLYN          ,NY,11237,40.700039,-73.911996,11237,Bushwick,Brooklyn,MUT CORP I
707543,JAC   ,DELLA PIETRA GOURMET MEAT MARKET ,193,ATLANTIC AVE                 ,BROOKLYN          ,NY,11201,40.689915,-73.993184,11201,"Boerum Hill, Brooklyn Heights, Cobble Hill, Downtown Brooklyn, DUMBO, Vinegar Hill",Brooklyn,DELLA PIETRA GOURMET MEAT MARKET
672220,JAC   ,40TH STREET DELI & GRILL CORP    ,3921,4TH AVE                     ,BROOKLYN          ,NY,11232,40.652466,-74.00624,11232,"Greenwood, Industry City, Bush Terminal, Sunset Park",Brooklyn,40TH STREET DELI & GRILL CORP
616740,A     ,GRAHAM RX CORP                   ,335,GRAHAM AVE                   ,BROOKLYN          ,NY,11211,40.714387,-73.944359,11211,Williamsburg,Brooklyn,GRAHAM RX CORP
710662,A     ,NEW LUCKY BEST CENTER INC        ,5822,8TH AVE               ,BROOKLYN          ,NY,11220,40.636157,-74.00887,11220,Sunset Park,Brooklyn,NEW LUCKY BEST CENTER INC
670506,JABCK ,LOLA BACKYARD LLC                ,448A,LAFAYETTE AVE         ,BROOKLYN          ,NY,11205,40.689217,-73.957109,11205,"Bedford-Stuyvesant, Navy Yard, Clinton Hill, Fort Greene",Brooklyn,LOLA BACKYARD LLC
703995,A     ,DOLLAR TREE STORES INC           ,1501,PITKIN AVE              ,BROOKLYN          ,NY,11212,40.668675,-73.917565,11212,"Brownsville, East Flatbush",Brooklyn,DOLLAR TREE STORES INC
708924,JAC   ,BED-STUY FRESH AND LOCAL LLC     ,210,PATCHEN AVE                  ,BROOKLYN          ,NY,11233,40.683667,-73.926225,11233,"Bedford-Stuyvesant, Stuyvesant Heights",Brooklyn,BED-STUY FRESH AND LOCAL LLC
713953,JAC   ,ROSITA SUN-DAYS CORP             ,221,IRVING AVENUE STE A          ,BROOKLYN          ,NY,11237,40.700831,-73.917587,11237,Bushwick,Brooklyn,ROSITA SUN-DAYS CORP
704179,A     ,STOP ONE FOOD MART INC           ,173,WYCKOFF AVE                  ,BROOKLYN          ,NY,11237,40.703161,-73.917403,11237,Bushwick,Brooklyn,STOP ONE FOOD MART INC
703778,JAC   ,A1 DISCOUNT GROCERY INC          ,160,GRAVESEND NECK RD            ,BROOKLYN          ,NY,11223,40.594872,-73.969594,11223,"Gravesend, Homecrest, Kensington",Brooklyn,A1 DISCOUNT GROCERY INC
612865,JAC   ,SACRED VIBES LLC                 ,376,ARGYLE RD                    ,BROOKLYN          ,NY,11218,40.640137,-73.966124,11218,"Ditmas Park, Kensington",Brooklyn,SACRED VIBES LLC
671952,JAC   ,EAST NEW YORK KOSHER CORP        ,589,E NEW YORK AVE               ,BROOKLYN          ,NY,11225,40.662049,-73.943115,11225,"Crown Heights, Prospect Lefferts Gardens",Brooklyn,EAST NEW YORK KOSHER CORP
709040,A     ,DOLLAR TREE STORES INC           ,1726,MCDONALD AVE                ,BROOKLYN          ,NY,11230,40.610549,-73.973321,11230,Midwood,Brooklyn,DOLLAR TREE STORES INC
611974,A     ,WALGREEN EASTERN CO INC          ,2590,CONEY ISLAND AVE            ,BROOKLYN          ,NY,11223,40.593178,-73.960871,11223,"Gravesend, Homecrest, Kensington",Brooklyn,WALGREEN EASTERN CO INC
613217,A     ,EXCLUSIVE DISCOUNT 99C& PLUS CORP,506,WILSON AVE                   ,BROOKLYN          ,NY,11221,40.692069,-73.910542,11221,"Bedford-Stuyvesant, Bushwick",Brooklyn,EXCLUSIVE DISCOUNT 99C& PLUS CORP
708739,JAC   ,HEGEMAN GOURMET DELI INC         ,588,HEGEMAN AVE                  ,BROOKLYN          ,NY,11207,40.660717,-73.889844,11207,East New York,Brooklyn,HEGEMAN GOURMET DELI INC
709863,JAC   ,A&E DIRECT LLC                   ,40,LEWIS AVE                     ,BROOKLYN          ,NY,11206,40.696517,-73.937749,11206,"Bedford-Stuyvesant, Williamsburg",Brooklyn,A&E DIRECT LLC
713975,JAC   ,GREEN DOOR BK CORP               ,583,FLATBUSH AVE                 ,BROOKLYN          ,NY,11225,40.659303,-73.960551,11225,"Crown Heights, Prospect Lefferts Gardens",Brooklyn,GREEN DOOR BK CORP
710405,JAC   ,BRADFORD FRIENDSHIP DELI GROCERY ,5,BRADFORD ST                    ,BROOKLYN          ,NY,11207,40.679419,-73.893935,11207,East New York,Brooklyn,BRADFORD FRIENDSHIP DELI GROCERY
707015,JAC   ,SUPREME DELI & GRILL INC         ,5502,CHURCH AVE                  ,BROOKLYN          ,NY,11203,40.652458,-73.925446,11203,East Flatbush,Brooklyn,SUPREME DELI & GRILL INC
706762,JAC   ,WORRELL ANGELA                   ,809,ROGERS AVE               ,BROOKLYN          ,NY,11226,40.651029,-73.952508,11226,"Flatbush, Prospect Park South",Brooklyn,WORRELL ANGELA
613913,JAC   ,LUGO MARTHA                      ,710,GEORGIA AVE                  ,BROOKLYN          ,NY,11207,40.659225,-73.893275,11207,East New York,Brooklyn,LUGO MARTHA
714804,JAC   ,DYLAN GROCERY STORE INC          ,1222,ROGERS AVE                  ,BROOKLYN          ,NY,11226,40.640059,-73.95133,11226,"Flatbush, Prospect Park South",Brooklyn,DYLAN GROCERY STORE INC
702433,JABCH ,MILK 'N HONEY FROZEN PRODUCTS COR,5013,10TH AVE              ,BROOKLYN          ,NY,11219,40.638222,-73.999542,11219,Borough Park,Brooklyn,MILK 'N HONEY FROZEN PRODUCTS COR
704837,JAC   ,YAFAI ABDOULKARIM A              ,159,BALTIC ST                    ,BROOKLYN          ,NY,11201,40.687446,-73.998125,11201,"Boerum Hill, Brooklyn Heights, Cobble Hill, Downtown Brooklyn, DUMBO, Vinegar Hill",Brooklyn,YAFAI ABDOULKARIM A
610325,JAC   ,LA ROTONDA MEAT CORP             ,655,STANLEY AVE                  ,BROOKLYN          ,NY,11207,40.659229,-73.884196,11207,East New York,Brooklyn,LA ROTONDA MEAT CORP
715044,JAC   ,237 FX EXPRESS CORP              ,237,AVENUE X                     ,BROOKLYN          ,NY,11223,40.603659,-73.977147,11223,"Gravesend, Homecrest, Kensington",Brooklyn,237 FX EXPRESS CORP
671908,A     ,KANG SHENG GROCERY INC           ,34,AVENUE O                      ,BROOKLYN          ,NY,11204,40.610228,-73.983832,11204,"Bensonhurst, Parkville",Brooklyn,KANG SHENG GROCERY INC
706520,JAC   ,MORELOS INC                      ,298,IRVING AVE                   ,BROOKLYN          ,NY,11237,40.699266,-73.914814,11237,Bushwick,Brooklyn,MORELOS INC
672065,JAC   ,FORT GREENE DELI INC             ,135,PARK AVE                     ,BROOKLYN          ,NY,11205,40.696264,-73.9742,11205,"Bedford-Stuyvesant, Navy Yard, Clinton Hill, Fort Greene",Brooklyn,FORT GREENE DELI INC
714461,A     ,BROOKLYN BRAINCHILD LLC          ,9002,3RD AVE                     ,BROOKLYN          ,NY,11209,40.62053,-74.032266,11209,"Bay Ridge, Fort Hamilton",Brooklyn,BROOKLYN BRAINCHILD LLC
